node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
66,67,90,46,-0.0028840237064287066,0.4993669230524088,62867,62867.0,"[0.5177915281467225, 0.48220847185327753]",0
67,68,81,47,-0.0027897399850189686,0.4767252298742728,1168,1168.0,"[0.6078767123287672, 0.3921232876712329]",0
68,69,76,49,-0.00918521173298359,0.3783706312319568,221,221.0,"[0.746606334841629, 0.25339366515837103]",0
69,70,73,11,-0.013074712827801704,0.4943413309189678,47,47.0,"[0.5531914893617021, 0.44680851063829785]",0
70,71,72,60,0.001914205204229802,0.4120707596253902,31,31.0,"[0.7096774193548387, 0.2903225806451613]",0
71,-1,-1,-2,-2.0,0.2603550295857988,26,26.0,"[0.8461538461538461, 0.15384615384615385]",0
72,-1,-1,-2,-2.0,0.0,5,5.0,"[0.0, 1.0]",1
73,74,75,11,-0.010276713408529758,0.375,16,16.0,"[0.25, 0.75]",1
74,-1,-1,-2,-2.0,0.1527777777777778,12,12.0,"[0.08333333333333333, 0.9166666666666666]",1
75,-1,-1,-2,-2.0,0.375,4,4.0,"[0.75, 0.25]",0
76,77,80,28,-0.00047924403042998165,0.32137666798784514,174,174.0,"[0.7988505747126436, 0.20114942528735633]",0
77,78,79,54,0.004765350371599197,0.3042303614787456,171,171.0,"[0.8128654970760234, 0.1871345029239766]",0
78,-1,-1,-2,-2.0,0.28699487253038836,167,167.0,"[0.8263473053892215, 0.17365269461077845]",0
79,-1,-1,-2,-2.0,0.375,4,4.0,"[0.25, 0.75]",1
80,-1,-1,-2,-2.0,0.0,3,3.0,"[0.0, 1.0]",1
81,82,83,39,-0.009846066124737263,0.4885990216422895,947,947.0,"[0.5755015839493136, 0.4244984160506864]",0
82,-1,-1,-2,-2.0,0.0,16,16.0,"[0.0, 1.0]",1
83,84,87,0,0.0022245547734200954,0.4854163950616145,931,931.0,"[0.5853920515574651, 0.4146079484425349]",0
84,85,86,27,-0.0002997664560098201,0.49638684309224124,647,647.0,"[0.5425038639876353, 0.4574961360123648]",0
85,-1,-1,-2,-2.0,0.49994815020677696,491,491.0,"[0.505091649694501, 0.49490835030549896]",0
86,-1,-1,-2,-2.0,0.4486357659434582,156,156.0,"[0.6602564102564102, 0.33974358974358976]",0
87,88,89,10,0.0033477487741038203,0.4329498115453283,284,284.0,"[0.6830985915492958, 0.31690140845070425]",0
88,-1,-1,-2,-2.0,0.3880341198979592,224,224.0,"[0.7366071428571429, 0.26339285714285715]",0
89,-1,-1,-2,-2.0,0.49944444444444447,60,60.0,"[0.48333333333333334, 0.5166666666666667]",1
90,91,106,52,0.00026378940674476326,0.4994824708981416,61699,61699.0,"[0.5160861602295013, 0.48391383977049873]",0
91,92,99,25,0.0029415179742500186,0.49935484600062585,59993,59993.0,"[0.5179604287166836, 0.48203957128331637]",0
92,93,96,41,0.003129987046122551,0.4995232216703358,55700,55700.0,"[0.515439856373429, 0.4845601436265709]",0
93,94,95,0,-0.002126247971318662,0.4994890892926499,55434,55434.0,"[0.5159829707399791, 0.48401702926002094]",0
94,-1,-1,-2,-2.0,0.48771365960555146,925,925.0,"[0.5783783783783784, 0.42162162162162165]",0
95,-1,-1,-2,-2.0,0.49955454003276156,54509,54509.0,"[0.5149241409675467, 0.48507585903245337]",0
96,97,98,42,0.0036562972236424685,0.48089207982361915,266,266.0,"[0.40225563909774437, 0.5977443609022557]",1
97,-1,-1,-2,-2.0,0.47729105079279766,61,61.0,"[0.6065573770491803, 0.39344262295081966]",0
98,-1,-1,-2,-2.0,0.44973230220107074,205,205.0,"[0.34146341463414637, 0.6585365853658537]",1
99,100,103,35,-0.0014051116304472089,0.4948663442657615,4293,4293.0,"[0.5506638714185884, 0.4493361285814116]",0
100,101,102,37,0.004403412574902177,0.40816326530612246,63,63.0,"[0.2857142857142857, 0.7142857142857143]",1
101,-1,-1,-2,-2.0,0.332409972299169,57,57.0,"[0.21052631578947367, 0.7894736842105263]",1
102,-1,-1,-2,-2.0,0.0,6,6.0,"[1.0, 0.0]",0
103,104,105,22,0.0053446360398083925,0.4940355112921885,4230,4230.0,"[0.5546099290780142, 0.4453900709219858]",0
104,-1,-1,-2,-2.0,0.4949060601045878,4171,4171.0,"[0.5504675137856629, 0.4495324862143371]",0
105,-1,-1,-2,-2.0,0.25854639471416263,59,59.0,"[0.847457627118644, 0.15254237288135594]",0
106,107,114,41,0.0003753753408091143,0.4950351081418729,1706,1706.0,"[0.4501758499413834, 0.5498241500586166]",1
107,108,111,56,-0.0037527679232880473,0.48164150740435296,1002,1002.0,"[0.4041916167664671, 0.5958083832335329]",1
108,109,110,46,-0.0003489609807729721,0.34357943119793166,118,118.0,"[0.22033898305084745, 0.7796610169491526]",1
109,-1,-1,-2,-2.0,0.4748021657642649,49,49.0,"[0.3877551020408163, 0.6122448979591837]",1
110,-1,-1,-2,-2.0,0.18231463978155849,69,69.0,"[0.10144927536231885, 0.8985507246376812]",1
111,112,113,54,-0.004178842529654503,0.48984203845130114,884,884.0,"[0.4287330316742081, 0.5712669683257918]",1
112,-1,-1,-2,-2.0,0.375,24,24.0,"[0.75, 0.25]",0
113,-1,-1,-2,-2.0,0.4871254732287723,860,860.0,"[0.4197674418604651, 0.5802325581395349]",1
114,115,118,44,-0.0003609286795835942,0.49951171875,704,704.0,"[0.515625, 0.484375]",0
115,116,117,4,-0.00018895384710049257,0.45619200000000004,125,125.0,"[0.648, 0.352]",0
116,-1,-1,-2,-2.0,0.33539371136791185,61,61.0,"[0.7868852459016393, 0.21311475409836064]",0
117,-1,-1,-2,-2.0,0.49951171875,64,64.0,"[0.515625, 0.484375]",0
118,119,120,37,0.0008561487193219364,0.4996644205213563,579,579.0,"[0.48704663212435234, 0.5129533678756477]",1
119,-1,-1,-2,-2.0,0.44973230220107074,82,82.0,"[0.6585365853658537, 0.34146341463414637]",0
120,-1,-1,-2,-2.0,0.49659728997728825,497,497.0,"[0.45875251509054327, 0.5412474849094567]",1
121,122,175,10,-0.003484330722130835,0.4981248158769631,103592,103592.0,"[0.4693798748938142, 0.5306201251061858]",1
122,123,146,44,-0.004392176168039441,0.48361226838401905,6308,6308.0,"[0.40948002536461636, 0.5905199746353836]",1
123,124,135,47,-0.0024149528471753,0.4518430439952438,1247,1247.0,"[0.3448275862068966, 0.6551724137931034]",1
124,125,130,11,-0.0010559360671322793,0.32230029585798814,104,104.0,"[0.20192307692307693, 0.7980769230769231]",1
125,126,129,2,0.0060762218199670315,0.4844290657439446,34,34.0,"[0.4117647058823529, 0.5882352941176471]",1
126,127,128,45,-0.004475353052839637,0.4970414201183432,26,26.0,"[0.5384615384615384, 0.46153846153846156]",0
127,-1,-1,-2,-2.0,0.2777777777777778,12,12.0,"[0.8333333333333334, 0.16666666666666666]",0
128,-1,-1,-2,-2.0,0.40816326530612246,14,14.0,"[0.2857142857142857, 0.7142857142857143]",1
